word,p1,p2,p3,p4,p5,p6,p7,p8
ಹುಡುಗಿ,ಹುಡುಗಿ,ಹುಡುಗಿಯನ್ನು,ಹುಡುಗಿಯಿಂದ,ಹುಡುಗಿಗೆ,ಹುಡುಗಿಯಿಂದ,ಹುಡುಗಿಯ,ಹುಡುಗಿಯಲ್ಲಿ,ಹುಡುಗಿಯೇ
ಮಹಿಳೆ,ಮಹಿಳೆ,ಮಹಿಳೆಯನ್ನು,ಮಹಿಳೆಯಿಂದ,ಮಹಿಳೆಗೆ,ಮಹಿಳೆಯಿಂದ,ಮಹಿಳೆಯ,ಮಹಿಳೆಯಲ್ಲಿ,ಮಹಿಳೆಯೇ
ರಾಣಿ,ರಾಣಿ,ರಾಣಿಯನ್ನು,ರಾಣಿಯಿಂದ,ರಾಣಿಗೆ,ರಾಣಿಯಿಂದ,ರಾಣಿಯ,ರಾಣಿಯಲ್ಲಿ,ರಾಣಿಯೇ
ತಾಯಿ,ತಾಯಿ,ತಾಯಿಯನ್ನು,ತಾಯಿಯಿಂದ,ತಾಯಿಗೆ,ತಾಯಿಯಿಂದ,ತಾಯಿಯ,ತಾಯಿಯಲ್ಲಿ,ತಾಯಿಯೇ
ಅಕ್ಕ,ಅಕ್ಕ,ಅಕ್ಕನನ್ನು,ಅಕ್ಕನಿಂದ,ಅಕ್ಕನಿಗೆ,ಅಕ್ಕನಿಂದ,ಅಕ್ಕನ,ಅಕ್ಕನಲ್ಲಿ,ಅಕ್ಕನೇ
ತಂಗಿ,ತಂಗಿ,ತಂಗಿಯನ್ನು,ತಂಗಿಯಿಂದ,ತಂಗಿಗೆ,ತಂಗಿಯಿಂದ,ತಂಗಿಯ,ತಂಗಿಯಲ್ಲಿ,ತಂಗಿಯೇ
ಮಗಳು,ಮಗಳು,ಮಗಳನ್ನು,ಮಗಳಿಂದ,ಮಗಳಿಗೆ,ಮಗಳಿಂದ,ಮಗಳ,ಮಗಳಲ್ಲಿ,ಮಗಳೇ
ಹೆಂಡತಿ,ಹೆಂಡತಿ,ಹೆಂಡತಿಯನ್ನು,ಹೆಂಡತಿಯಿಂದ,ಹೆಂಡತಿಗೆ,ಹೆಂಡತಿಯಿಂದ,ಹೆಂಡತಿಯ,ಹೆಂಡತಿಯಲ್ಲಿ,ಹೆಂಡತಿಯೇ
ಅತ್ತಿಗೆ,ಅತ್ತಿಗೆ,ಅತ್ತಿಗೆಯನ್ನು,ಅತ್ತಿಗೆಯಿಂದ,ಅತ್ತಿಗೆಗೆ,ಅತ್ತಿಗೆಯಿಂದ,ಅತ್ತಿಗೆಯ,ಅತ್ತಿಗೆಯಲ್ಲಿ,ಅತ್ತಿಗೆಯೇ
ಅತ್ತೆ,ಅತ್ತೆ,ಅತ್ತೆಯನ್ನು,ಅತ್ತೆಯಿಂದ,ಅತ್ತೆಗೆ,ಅತ್ತೆಯಿಂದ,ಅತ್ತೆಯ,ಅತ್ತೆಯಲ್ಲಿ,ಅತ್ತೆಯೇ
ಅಜ್ಜಿ,ಅಜ್ಜಿ,ಅಜ್ಜಿಯನ್ನು,ಅಜ್ಜಿಯಿಂದ,ಅಜ್ಜಿಗೆ,ಅಜ್ಜಿಯಿಂದ,ಅಜ್ಜಿಯ,ಅಜ್ಜಿಯಲ್ಲಿ,ಅಜ್ಜಿಯೇ
ಸೊಸೆ,ಸೊಸೆ,ಸೊಸೆಯನ್ನು,ಸೊಸೆಯಿಂದ,ಸೊಸೆಗೆ,ಸೊಸೆಯಿಂದ,ಸೊಸೆಯ,ಸೊಸೆಯಲ್ಲಿ,ಸೊಸೆಯೇ
ನಾದಿನಿ,ನಾದಿನಿ,ನಾದಿನಿಯನ್ನು,ನಾದಿನಿಯಿಂದ,ನಾದಿನಿಗೆ,ನಾದಿನಿಯಿಂದ,ನಾದಿನಿಯ,ನಾದಿನಿಯಲ್ಲಿ,ನಾದಿನಿಯೇ
ದೇವತೆ,ದೇವತೆ,ದೇವತೆಯನ್ನು,ದೇವತೆಯಿಂದ,ದೇವತೆಗೆ,ದೇವತೆಯಿಂದ,ದೇವತೆಯ,ದೇವತೆಯಲ್ಲಿ,ದೇವತೆಯೇ
ಗೊಂಬೆ,ಗೊಂಬೆ,ಗೊಂಬೆಯನ್ನು,ಗೊಂಬೆಯಿಂದ,ಗೊಂಬೆಗೆ,ಗೊಂಬೆಯಿಂದ,ಗೊಂಬೆಯ,ಗೊಂಬೆಯಲ್ಲಿ,ಗೊಂಬೆಯೇ
ಮಡದಿ,ಮಡದಿ,ಮಡದಿಯನ್ನು,ಮಡದಿಯಿಂದ,ಮಡದಿಗೆ,ಮಡದಿಯಿಂದ,ಮಡದಿಯ,ಮಡದಿಯಲ್ಲಿ,ಮಡದಿಯೇ
ಶಿಕ್ಷಕಿ,ಶಿಕ್ಷಕಿ,ಶಿಕ್ಷಕಿಯನ್ನು,ಶಿಕ್ಷಕಿಯಿಂದ,ಶಿಕ್ಷಕಿಗೆ,ಶಿಕ್ಷಕಿಯಿಂದ,ಶಿಕ್ಷಕಿಯ,ಶಿಕ್ಷಕಿಯಲ್ಲಿ,ಶಿಕ್ಷಕಿಯೇ
ವೈದ್ಯೆ,ವೈದ್ಯೆ,ವೈದ್ಯೆಯನ್ನು,ವೈದ್ಯೆಯಿಂದ,ವೈದ್ಯೆಗೆ,ವೈದ್ಯೆಯಿಂದ,ವೈದ್ಯೆಯ,ವೈದ್ಯೆಯಲ್ಲಿ,ವೈದ್ಯೆಯೇ
ಕವಯತ್ರಿ,ಕವಯತ್ರಿ,ಕವಯತ್ರಿಯನ್ನು,ಕವಯತ್ರಿಯಿಂದ,ಕವಯತ್ರಿಗೆ,ಕವಯತ್ರಿಯಿಂದ,ಕವಯತ್ರಿಯ,ಕವಯತ್ರಿಯಲ್ಲಿ,ಕವಯತ್ರಿಯೇ
ನರ್ತಕಿ,ನರ್ತಕಿ,ನರ್ತಕಿಯನ್ನು,ನರ್ತಕಿಯಿಂದ,ನರ್ತಕಿಗೆ,ನರ್ತಕಿಯಿಂದ,ನರ್ತಕಿಯ,ನರ್ತಕಿಯಲ್ಲಿ,ನರ್ತಕಿಯೇ
ಗಾಯಕಿ,ಗಾಯಕಿ,ಗಾಯಕಿಯನ್ನು,ಗಾಯಕಿಯಿಂದ,ಗಾಯಕಿಗೆ,ಗಾಯಕಿಯಿಂದ,ಗಾಯಕಿಯ,ಗಾಯಕಿಯಲ್ಲಿ,ಗಾಯಕಿಯೇ
ಲೇಖಕಿ,ಲೇಖಕಿ,ಲೇಖಕಿಯನ್ನು,ಲೇಖಕಿಯಿಂದ,ಲೇಖಕಿಗೆ,ಲೇಖಕಿಯಿಂದ,ಲೇಖಕಿಯ,ಲೇಖಕಿಯಲ್ಲಿ,ಲೇಖಕಿಯೇ
ವಿದ್ಯಾರ್ಥಿನಿ,ವಿದ್ಯಾರ್ಥಿನಿ,ವಿದ್ಯಾರ್ಥಿನಿಯನ್ನು,ವಿದ್ಯಾರ್ಥಿನಿಯಿಂದ,ವಿದ್ಯಾರ್ಥಿನಿಗೆ,ವಿದ್ಯಾರ್ಥಿನಿಯಿಂದ,ವಿದ್ಯಾರ್ಥಿನಿಯ,ವಿದ್ಯಾರ್ಥಿನಿಯಲ್ಲಿ,ವಿದ್ಯಾರ್ಥಿನಿಯೇ
ಕಾರ್ಮಿಕಿ,ಕಾರ್ಮಿಕಿ,ಕಾರ್ಮಿಕಿಯನ್ನು,ಕಾರ್ಮಿಕಿಯಿಂದ,ಕಾರ್ಮಿಕಿಗೆ,ಕಾರ್ಮಿಕಿಯಿಂದ,ಕಾರ್ಮಿಕಿಯ,ಕಾರ್ಮಿಕಿಯಲ್ಲಿ,ಕಾರ್ಮಿಕಿಯೇ
ಮಾಲಿಕಿ,ಮಾಲಿಕಿ,ಮಾಲಿಕಿಯನ್ನು,ಮಾಲಿಕಿಯಿಂದ,ಮಾಲಿಕಿಗೆ,ಮಾಲಿಕಿಯಿಂದ,ಮಾಲಿಕಿಯ,ಮಾಲಿಕಿಯಲ್ಲಿ,ಮಾಲಿಕಿಯೇ
ಅಡಿಗೆಗಾತಿ,ಅಡಿಗೆಗಾತಿ,ಅಡಿಗೆಗಾತಿಯನ್ನು,ಅಡಿಗೆಗಾತಿಯಿಂದ,ಅಡಿಗೆಗಾತಿಗೆ,ಅಡಿಗೆಗಾತಿಯಿಂದ,ಅಡಿಗೆಗಾತಿಯ,ಅಡಿಗೆಗಾತಿಯಲ್ಲಿ,ಅಡಿಗೆಗಾತಿಯೇ
ಭೂಮಿ,ಭೂಮಿ,ಭೂಮಿಯನ್ನು,ಭೂಮಿಯಿಂದ,ಭೂಮಿಗೆ,ಭೂಮಿಯಿಂದ,ಭೂಮಿಯ,ಭೂಮಿಯಲ್ಲಿ,ಭೂಮಿಯೇ
ನದಿ,ನದಿ,ನದಿಯನ್ನು,ನದಿಯಿಂದ,ನದಿಗೆ,ನದಿಯಿಂದ,ನದಿಯ,ನದಿಯಲ್ಲಿ,ನದಿಯೇ
ಬೆಳ್ಳಿ,ಬೆಳ್ಳಿ,ಬೆಳ್ಳಿಯನ್ನು,ಬೆಳ್ಳಿಯಿಂದ,ಬೆಳ್ಳಿಗೆ,ಬೆಳ್ಳಿಯಿಂದ,ಬೆಳ್ಳಿಯ,ಬೆಳ್ಳಿಯಲ್ಲಿ,ಬೆಳ್ಳಿಯೇ
ದೋಣಿ,ದೋಣಿ,ದೋಣಿಯನ್ನು,ದೋಣಿಯಿಂದ,ದೋಣಿಗೆ,ದೋಣಿಯಿಂದ,ದೋಣಿಯ,ದೋಣಿಯಲ್ಲಿ,ದೋಣಿಯೇ
ಬಳ್ಳಿ,ಬಳ್ಳಿ,ಬಳ್ಳಿಯನ್ನು,ಬಳ್ಳಿಯಿಂದ,ಬಳ್ಳಿಗೆ,ಬಳ್ಳಿಯಿಂದ,ಬಳ್ಳಿಯ,ಬಳ್ಳಿಯಲ್ಲಿ,ಬಳ್ಳಿಯೇ
ಬಾಗಿಲು,ಬಾಗಿಲು,ಬಾಗಿಲನ್ನು,ಬಾಗಿಲಿಂದ,ಬಾಗಿಲಿಗೆ,ಬಾಗಿಲಿಂದ,ಬಾಗಿಲ,ಬಾಗಿಲಲ್ಲಿ,ಬಾಗಿಲೇ
ಸೇವೆ,ಸೇವೆ,ಸೇವೆಯನ್ನು,ಸೇವೆಯಿಂದ,ಸೇವೆಗೆ,ಸೇವೆಯಿಂದ,ಸೇವೆಯ,ಸೇವೆಯಲ್ಲಿ,ಸೇವೆ
ಪ್ರೀತಿ,ಪ್ರೀತಿ,ಪ್ರೀತಿಯನ್ನು,ಪ್ರೀತಿಯಿಂದ,ಪ್ರೀತಿಗೆ,ಪ್ರೀತಿಯಿಂದ,ಪ್ರೀತಿಯ,ಪ್ರೀತಿಯಲ್ಲಿ,ಪ್ರೀತಿಯೇ
ಕ್ಷಮೆ,ಕ್ಷಮೆ,ಕ್ಷಮೆಯನ್ನು,ಕ್ಷಮೆಯಿಂದ,ಕ್ಷಮೆಗೆ,ಕ್ಷಮೆಯಿಂದ,ಕ್ಷಮೆಯ,ಕ್ಷಮೆಯಲ್ಲಿ,ಕ್ಷಮೆಯೇ
ಶಾಂತಿ,ಶಾಂತಿ,ಶಾಂತಿಯನ್ನು,ಶಾಂತಿಯಿಂದ,ಶಾಂತಿಗೆ,ಶಾಂತಿಯಿಂದ,ಶಾಂತಿಯ,ಶಾಂತಿಯಲ್ಲಿ,ಶಾಂತಿಯೇ
ವಾಣಿ,ವಾಣಿ,ವಾಣಿಯನ್ನು,ವಾಣಿಯಿಂದ,ವಾಣಿಗೆ,ವಾಣಿಯಿಂದ,ವಾಣಿಯ,ವಾಣಿಯಲ್ಲಿ,ವಾಣಿಯೇ
ರೀತಿ,ರೀತಿ,ರೀತಿಯನ್ನು,ರೀತಿಯಿಂದ,ರೀತಿಗೆ,ರೀತಿಯಿಂದ,ರೀತಿಯ,ರೀತಿಯಲ್ಲಿ,ರೀತಿಯೇ
ಸುಂದರಿ,ಸುಂದರಿ,ಸುಂದರಿಯನ್ನು,ಸುಂದರಿಯಿಂದ,ಸುಂದರಿಗೆ,ಸುಂದರಿಯಿಂದ,ಸುಂದರಿಯ,ಸುಂದರಿಯಲ್ಲಿ,ಸುಂದರಿಯೇ
ಸಮಸ್ಯೆ,ಸಮಸ್ಯೆ,ಸಮಸ್ಯೆಯನ್ನು,ಸಮಸ್ಯೆಯಿಂದ,ಸಮಸ್ಯೆಗೆ,ಸಮಸ್ಯೆಯಿಂದ,ಸಮಸ್ಯೆಯ,ಸಮಸ್ಯೆಯಲ್ಲಿ,ಸಮಸ್ಯೆಯೇ
ಪತ್ರಿಕೆ,ಪತ್ರಿಕೆ,ಪತ್ರಿಕೆಯನ್ನು,ಪತ್ರಿಕೆಯಿಂದ,ಪತ್ರಿಕೆಗೆ,ಪತ್ರಿಕೆಯಿಂದ,ಪತ್ರಿಕೆಯ,ಪತ್ರಿಕೆಯಲ್ಲಿ,ಪತ್ರಿಕೆಯೇ
ಪ್ರಕಾಶಕಿ,ಪ್ರಕಾಶಕಿ,ಪ್ರಕಾಶಕಿಯನ್ನು,ಪ್ರಕಾಶಕಿಯಿಂದ,ಪ್ರಕಾಶಕಿಗೆ,ಪ್ರಕಾಶಕಿಯಿಂದ,ಪ್ರಕಾಶಕಿಯ,ಪ್ರಕಾಶಕಿಯಲ್ಲಿ,ಪ್ರಕಾಶಕಿಯೇ
ವಿಮರ್ಶಕಿ,ವಿಮರ್ಶಕಿ,ವಿಮರ್ಶಕಿಯನ್ನು,ವಿಮರ್ಶಕಿಯಿಂದ,ವಿಮರ್ಶಕಿಗೆ,ವಿಮರ್ಶಕಿಯಿಂದ,ವಿಮರ್ಶಕಿಯ,ವಿಮರ್ಶಕಿಯಲ್ಲಿ,ವಿಮರ್ಶಕಿಯೇ
ಶೋಧಕಿ,ಶೋಧಕಿ,ಶೋಧಕಿಯನ್ನು,ಶೋಧಕಿಯಿಂದ,ಶೋಧಕಿಗೆ,ಶೋಧಕಿಯಿಂದ,ಶೋಧಕಿಯ,ಶೋಧಕಿಯಲ್ಲಿ,ಶೋಧಕಿಯೇ
ಮಂಡಳಿ,ಮಂಡಳಿ,ಮಂಡಳಿಯನ್ನು,ಮಂಡಳಿಯಿಂದ,ಮಂಡಳಿಗೆ,ಮಂಡಳಿಯಿಂದ,ಮಂಡಳಿಯ,ಮಂಡಳಿಯಲ್ಲಿ,ಮಂಡಳಿಯೇ
ಸಭೆ,ಸಭೆ,ಸಭೆಯನ್ನು,ಸಭೆಯಿಂದ,ಸಭೆಗೆ,ಸಭೆಯಿಂದ,ಸಭೆಯ,ಸಭೆಯಲ್ಲಿ,ಸಭೆಯೇ
ಯೋಜನೆ,ಯೋಜನೆ,ಯೋಜನೆಯನ್ನು,ಯೋಜನೆಯಿಂದ,ಯೋಜನೆಗೆ,ಯೋಜನೆಯಿಂದ,ಯೋಜನೆಯ,ಯೋಜನೆಯಲ್ಲಿ,ಯೋಜನೆಯೇ
ಕಾಯಿದೆ,ಕಾಯಿದೆ,ಕಾಯಿದೆಯನ್ನು,ಕಾಯಿದೆಯಿಂದ,ಕಾಯಿದೆಗೆ,ಕಾಯಿದೆಯಿಂದ,ಕಾಯಿದೆಯ,ಕಾಯಿದೆಯಲ್ಲಿ,ಕಾಯಿದೆಯೇ
ಒಡತಿ,ಒಡತಿ,ಒಡತಿಯನ್ನು,ಒಡತಿಯಿಂದ,ಒಡತಿಗೆ,ಒಡತಿಯಿಂದ,ಒಡತಿಯ,ಒಡತಿಯಲ್ಲಿ,ಒಡತಿಯೇ
ಮಾದರಿ,ಮಾದರಿ,ಮಾದರಿಯನ್ನು,ಮಾದರಿಯಿಂದ,ಮಾದರಿಗೆ,ಮಾದರಿಯಿಂದ,ಮಾದರಿಯ,ಮಾದರಿಯಲ್ಲಿ,ಮಾದರಿಯೇ
ವೇದಿಕೆ,ವೇದಿಕೆ,ವೇದಿಕೆಯನ್ನು,ವೇದಿಕೆಯಿಂದ,ವೇದಿಕೆಗೆ,ವೇದಿಕೆಯಿಂದ,ವೇದಿಕೆಯ,ವೇದಿಕೆಯಲ್ಲಿ,ವೇದಿಕೆಯೇ
ಪರೀಕ್ಷೆ,ಪರೀಕ್ಷೆ,ಪರೀಕ್ಷೆಯನ್ನು,ಪರೀಕ್ಷೆಯಿಂದ,ಪರೀಕ್ಷೆಗೆ,ಪರೀಕ್ಷೆಯಿಂದ,ಪರೀಕ್ಷೆಯ,ಪರೀಕ್ಷೆಯಲ್ಲಿ,ಪರೀಕ್ಷೆಯೇ
ದಿಕ್ಕು,ದಿಕ್ಕು,ದಿಕ್ಕನ್ನು,ದಿಕ್ಕಿನಿಂದ,ದಿಕ್ಕಿಗೆ,ದಿಕ್ಕಿನಿಂದ,ದಿಕ್ಕಿನ,ದಿಕ್ಕಿನಲ್ಲಿ,ದಿಕ್ಕೇ
ಬೆಲೆ,ಬೆಲೆ,ಬೆಲೆಯನ್ನು,ಬೆಲೆಯಿಂದ,ಬೆಲೆಗೆ,ಬೆಲೆಯಿಂದ,ಬೆಲೆಯ,ಬೆಲೆಯಲ್ಲಿ,ಬೆಲೆಯೇ
ಹಾದಿ,ಹಾದಿ,ಹಾದಿಯನ್ನು,ಹಾದಿಯಿಂದ,ಹಾದಿಗೆ,ಹಾದಿಯಿಂದ,ಹಾದಿಯ,ಹಾದಿಯಲ್ಲಿ,ಹಾದಿಯೇ
ಕಥೆ,ಕಥೆ,ಕಥೆಯನ್ನು,ಕಥೆಯಿಂದ,ಕಥೆಗೆ,ಕಥೆಯಿಂದ,ಕಥೆಯ,ಕಥೆಯಲ್ಲಿ,ಕಥೆಯೇ
ಭಾವನೆ,ಭಾವನೆ,ಭಾವನೆಯನ್ನು,ಭಾವನೆಯಿಂದ,ಭಾವನೆಗೆ,ಭಾವನೆಯಿಂದ,ಭಾವನೆಯ,ಭಾವನೆಯಲ್ಲಿ,ಭಾವನೆಯೇ
ದಾಳಿ,ದಾಳಿ,ದಾಳಿಯನ್ನು,ದಾಳಿಯಿಂದ,ದಾಳಿಗೆ,ದಾಳಿಯಿಂದ,ದಾಳಿಯ,ದಾಳಿಯಲ್ಲಿ,ದಾಳಿಯೇ
ಖುಷಿ,ಖುಷಿ,ಖುಷಿಯನ್ನು,ಖುಷಿಯಿಂದ,ಖುಷಿಗೆ,ಖುಷಿಯಿಂದ,ಖುಷಿಯ,ಖುಷಿಯಲ್ಲಿ,ಖುಷಿಯೇ
ಆಕೃತಿ,ಆಕೃತಿ,ಆಕೃತಿಯನ್ನು,ಆಕೃತಿಯಿಂದ,ಆಕೃತಿಗೆ,ಆಕೃತಿಯಿಂದ,ಆಕೃತಿಯ,ಆಕೃತಿಯಲ್ಲಿ,ಆಕೃತಿಯೇ
ವೇಗ,ವೇಗ,ವೇಗವನ್ನು,ವೇಗದಿಂದ,ವೇಗಕ್ಕೆ,ವೇಗದಿಂದ,ವೇಗದ,ವೇಗದಲ್ಲಿ,ವೇಗವೇ
ಬೆಳಕು,ಬೆಳಕು,ಬೆಳಕನ್ನು,ಬೆಳಕಿನಿಂದ,ಬೆಳಕಿಗೆ,ಬೆಳಕಿನಿಂದ,ಬೆಳಕಿನ,ಬೆಳಕಿನಲ್ಲಿ,ಬೆಳಕೇ
ಪರಂಪರೆ,ಪರಂಪರೆ,ಪರಂಪರೆಯನ್ನು,ಪರಂಪರೆಯಿಂದ,ಪರಂಪರೆಗೆ,ಪರಂಪರೆಯಿಂದ,ಪರಂಪರೆಯ,ಪರಂಪರೆಯಲ್ಲಿ,ಪರಂಪರೆಯೇ
ಸಂಶೋಧಕಿ,ಸಂಶೋಧಕಿ,ಸಂಶೋಧಕಿಯನ್ನು,ಸಂಶೋಧಕಿಯಿಂದ,ಸಂಶೋಧಕಿಗೆ,ಸಂಶೋಧಕಿಯಿಂದ,ಸಂಶೋಧಕಿಯ,ಸಂಶೋಧಕಿಯಲ್ಲಿ,ಸಂಶೋಧಕಿಯೇ
ದಿನಚರಿ,ದಿನಚರಿ,ದಿನಚರಿಯನ್ನು,ದಿನಚರಿಯಿಂದ,ದಿನಚರಿಗೆ,ದಿನಚರಿಯಿಂದ,ದಿನಚರಿಯ,ದಿನಚರಿಯಲ್ಲಿ,ದಿನಚರಿಯೇ
ಉಪಸ್ಥಿತಿ,ಉಪಸ್ಥಿತಿ,ಉಪಸ್ಥಿತಿಯನ್ನು,ಉಪಸ್ಥಿತಿಯಿಂದ,ಉಪಸ್ಥಿತಿಗೆ,ಉಪಸ್ಥಿತಿಯಿಂದ,ಉಪಸ್ಥಿತಿಯ,ಉಪಸ್ಥಿತಿಯಲ್ಲಿ,ಉಪಸ್ಥಿತಿಯೇ
ಶ್ರದ್ಧೆ,ಶ್ರದ್ಧೆ,ಶ್ರದ್ಧೆಯನ್ನು,ಶ್ರದ್ಧೆಯಿಂದ,ಶ್ರದ್ಧೆಗೆ,ಶ್ರದ್ಧೆಯಿಂದ,ಶ್ರದ್ಧೆಯ,ಶ್ರದ್ಧೆಯಲ್ಲಿ,ಶ್ರದ್ಧೆಯೇ
ನೃತ್ಯಗಾತಿ,ನೃತ್ಯಗಾತಿ,ನೃತ್ಯಗಾತಿಯನ್ನು,ನೃತ್ಯಗಾತಿಯಿಂದ,ನೃತ್ಯಗಾತಿಗೆ,ನೃತ್ಯಗಾತಿಯಿಂದ,ನೃತ್ಯಗಾತಿಯ,ನೃತ್ಯಗಾತಿಯಲ್ಲಿ,ನೃತ್ಯಗಾತಿಯೇ
ಚರ್ಚೆ,ಚರ್ಚೆ,ಚರ್ಚೆಯನ್ನು,ಚರ್ಚೆಯಿಂದ,ಚರ್ಚೆಗೆ,ಚರ್ಚೆಯಿಂದ,ಚರ್ಚೆಯ,ಚರ್ಚೆಯಲ್ಲಿ,ಚರ್ಚೆಯೇ
ಸಂಪಾದಕಿ,ಸಂಪಾದಕಿ,ಸಂಪಾದಕಿಯನ್ನು,ಸಂಪಾದಕಿಯಿಂದ,ಸಂಪಾದಕಿಗೆ,ಸಂಪಾದಕಿಯಿಂದ,ಸಂಪಾದಕಿಯ,ಸಂಪಾದಕಿಯಲ್ಲಿ,ಸಂಪಾದಕಿಯೇ
ಪದ್ಧತಿ,ಪದ್ಧತಿ,ಪದ್ಧತಿಯನ್ನು,ಪದ್ಧತಿಯಿಂದ,ಪದ್ಧತಿಗೆ,ಪದ್ಧತಿಯಿಂದ,ಪದ್ಧತಿಯ,ಪದ್ಧತಿಯಲ್ಲಿ,ಪದ್ಧತಿಯೇ
ಗಣಕಿ,ಗಣಕಿ,ಗಣಕಿಯನ್ನು,ಗಣಕಿಯಿಂದ,ಗಣಕಿಗೆ,ಗಣಕಿಯಿಂದ,ಗಣಕಿಯ,ಗಣಕಿಯಲ್ಲಿ,ಗಣಕಿಯೇ
ಸಂಪತ್ತು,ಸಂಪತ್ತು,ಸಂಪತ್ತನ್ನು,ಸಂಪತ್ತಿನಿಂದ,ಸಂಪತ್ತಿಗೆ,ಸಂಪತ್ತಿನಿಂದ,ಸಂಪತ್ತಿನ,ಸಂಪತ್ತಿನಲ್ಲಿ,ಸಂಪತ್ತೇ
ಪ್ರತಿಭೆ,ಪ್ರತಿಭೆ,ಪ್ರತಿಭೆಯನ್ನು,ಪ್ರತಿಭೆಯಿಂದ,ಪ್ರತಿಭೆಗೆ,ಪ್ರತಿಭೆಯಿಂದ,ಪ್ರತಿಭೆಯ,ಪ್ರತಿಭೆಯಲ್ಲಿ,ಪ್ರತಿಭೆಯೇ
ಮಿತಿ,ಮಿತಿ,ಮಿತಿಯನ್ನು,ಮಿತಿಯಿಂದ,ಮಿತಿಗೆ,ಮಿತಿಯಿಂದ,ಮಿತಿಯ,ಮಿತಿಯಲ್ಲಿ,ಮಿತಿಯೇ
ಗಡಿ,ಗಡಿ,ಗಡಿಯನ್ನು,ಗಡಿಯಿಂದ,ಗಡಿಗೆ,ಗಡಿಯಿಂದ,ಗಡಿಯ,ಗಡಿಯಲ್ಲಿ,ಗಡಿಯೇ
ಆಸ್ತಿ,ಆಸ್ತಿ,ಆಸ್ತಿಯನ್ನು,ಆಸ್ತಿಯಿಂದ,ಆಸ್ತಿಗೆ,ಆಸ್ತಿಯಿಂದ,ಆಸ್ತಿಯ,ಆಸ್ತಿಯಲ್ಲಿ,ಆಸ್ತಿಯೇ
