word,p1,p2,p3,p4,p5,p6,p7,p8
ಮಿಂಚು,ಮಿಂಚು,ಮಿಂಚನ್ನು,ಮಿಂಚಿನಿಂದ,ಮಿಂಚಿಗೆ,ಮಿಂಚಿನಿಂದ,ಮಿಂಚಿನ,ಮಿಂಚಿನಲ್ಲಿ,ಮಿಂಚೇ
ಶನಿ,ಶನಿ,ಶನಿಯನ್ನು,ಶನಿಯಿಂದ,ಶನಿಗೆ,ಶನಿಯಿಂದ,ಶನಿಯ,ಶನಿಯಲ್ಲಿ,ಶನಿಯೇ
ಆರೋಗ್ಯ,ಆರೋಗ್ಯ,ಆರೋಗ್ಯವನ್ನು,ಆರೋಗ್ಯದಿಂದ,ಆರೋಗ್ಯಕ್ಕೆ,ಆರೋಗ್ಯದಿಂದ,ಆರೋಗ್ಯದ,ಆರೋಗ್ಯದಲ್ಲಿ,ಆರೋಗ್ಯವೇ
ಕರ್ತವ್ಯ,ಕರ್ತವ್ಯ,ಕರ್ತವ್ಯವನ್ನು,ಕರ್ತವ್ಯದಿಂದ,ಕರ್ತವ್ಯಕ್ಕೆ,ಕರ್ತವ್ಯದಿಂದ,ಕರ್ತವ್ಯದ,ಕರ್ತವ್ಯದಲ್ಲಿ,ಕರ್ತವ್ಯವೇ
ರಾತ್ರಿ,ರಾತ್ರಿ,ರಾತ್ರಿಯನ್ನು,ರಾತ್ರಿಯಿಂದ,ರಾತ್ರಿಗೆ,ರಾತ್ರಿಯಿಂದ,ರಾತ್ರಿಯ,ರಾತ್ರಿಯಲ್ಲಿ,ರಾತ್ರಿಯೇ
ಸಾಧಕಿ,ಸಾಧಕಿ,ಸಾಧಕಿಯನ್ನು,ಸಾಧಕಿಯಿಂದ,ಸಾಧಕಿಗೆ,ಸಾಧಕಿಯಿಂದ,ಸಾಧಕಿಯ,ಸಾಧಕಿಯಲ್ಲಿ,ಸಾಧಕಿಯೇ
ವೇಷ,ವೇಷ,ವೇಷವನ್ನು,ವೇಷದಿಂದ,ವೇಷಕ್ಕೆ,ವೇಷದಿಂದ,ವೇಷದ,ವೇಷದಲ್ಲಿ,ವೇಷವೇ
ಸೌಂದರ್ಯ,ಸೌಂದರ್ಯ,ಸೌಂದರ್ಯವನ್ನು,ಸೌಂದರ್ಯದಿಂದ,ಸೌಂದರ್ಯಕ್ಕೆ,ಸೌಂದರ್ಯದಿಂದ,ಸೌಂದರ್ಯದ,ಸೌಂದರ್ಯದಲ್ಲಿ,ಸೌಂದರ್ಯವೇ
ಸಂಚಿಕೆ,ಸಂಚಿಕೆ,ಸಂಚಿಕೆಯನ್ನು,ಸಂಚಿಕೆಯಿಂದ,ಸಂಚಿಕೆಗೆ,ಸಂಚಿಕೆಯಿಂದ,ಸಂಚಿಕೆಯ,ಸಂಚಿಕೆಯಲ್ಲಿ,ಸಂಚಿಕೆಯೇ
ಮಾರ್ಗ,ಮಾರ್ಗ,ಮಾರ್ಗವನ್ನು,ಮಾರ್ಗದಿಂದ,ಮಾರ್ಗಕ್ಕೆ,ಮಾರ್ಗದಿಂದ,ಮಾರ್ಗದ,ಮಾರ್ಗದಲ್ಲಿ,ಮಾರ್ಗವೇ
ಮಟ್ಟ,ಮಟ್ಟ,ಮಟ್ಟವನ್ನು,ಮಟ್ಟದಿಂದ,ಮಟ್ಟಕ್ಕೆ,ಮಟ್ಟದಿಂದ,ಮಟ್ಟದ,ಮಟ್ಟದಲ್ಲಿ,ಮಟ್ಟವೇ
ಕಂಪನಿ,ಕಂಪನಿ,ಕಂಪನಿಯನ್ನು,ಕಂಪನಿಯಿಂದ,ಕಂಪನಿಗೆ,ಕಂಪನಿಯಿಂದ,ಕಂಪನಿಯ,ಕಂಪನಿಯಲ್ಲಿ,ಕಂಪನಿಯೇ
ಸಾರಿಗೆ,ಸಾರಿಗೆ,ಸಾರಿಗೆಯನ್ನು,ಸಾರಿಗೆಯಿಂದ,ಸಾರಿಗೆಗೆ,ಸಾರಿಗೆಯಿಂದ,ಸಾರಿಗೆಯ,ಸಾರಿಗೆಯಲ್ಲಿ,ಸಾರಿಗೆಯೇ
ಖರ್ಚು,ಖರ್ಚು,ಖರ್ಚನ್ನು,ಖರ್ಚಿನಿಂದ,ಖರ್ಚಿಗೆ,ಖರ್ಚಿನಿಂದ,ಖರ್ಚಿನ,ಖರ್ಚಿನಲ್ಲಿ,ಖರ್ಚೇ
ಸಾಲ,ಸಾಲ,ಸಾಲವನ್ನು,ಸಾಲದಿಂದ,ಸಾಲಕ್ಕೆ,ಸಾಲದಿಂದ,ಸಾಲದ,ಸಾಲದಲ್ಲಿ,ಸಾಲವೇ
ನೀತಿ,ನೀತಿ,ನೀತಿಯನ್ನು,ನೀತಿಯಿಂದ,ನೀತಿಗೆ,ನೀತಿಯಿಂದ,ನೀತಿಯ,ನೀತಿಯಲ್ಲಿ,ನೀತಿಯೇ
ಶ್ರಮ,ಶ್ರಮ,ಶ್ರಮವನ್ನು,ಶ್ರಮದಿಂದ,ಶ್ರಮಕ್ಕೆ,ಶ್ರಮದಿಂದ,ಶ್ರಮದ,ಶ್ರಮದಲ್ಲಿ,ಶ್ರಮವೇ
ಕಂಪ್ಯೂಟರ್,ಕಂಪ್ಯೂಟರ್,ಕಂಪ್ಯೂಟರನ್ನು,ಕಂಪ್ಯೂಟರಿನಿಂದ,ಕಂಪ್ಯೂಟರಿಗೆ,ಕಂಪ್ಯೂಟರಿನಿಂದ,ಕಂಪ್ಯೂಟರಿನ,ಕಂಪ್ಯೂಟರಿನಲ್ಲಿ,ಕಂಪ್ಯೂಟರೇ
ಖಾತೆ,ಖಾತೆ,ಖಾತೆಯನ್ನು,ಖಾತೆಯಿಂದ,ಖಾತೆಗೆ,ಖಾತೆಯಿಂದ,ಖಾತೆಯ,ಖಾತೆಯಲ್ಲಿ,ಖಾತೆಯೇ
ಮೇಳ,ಮೇಳ,ಮೇಳವನ್ನು,ಮೇಳದಿಂದ,ಮೇಳಕ್ಕೆ,ಮೇಳದಿಂದ,ಮೇಳದ,ಮೇಳದಲ್ಲಿ,ಮೇಳವೇ
ಮೂಲೆ,ಮೂಲೆ,ಮೂಲೆಯನ್ನು,ಮೂಲೆಯಿಂದ,ಮೂಲೆಗೆ,ಮೂಲೆಯಿಂದ,ಮೂಲೆಯ,ಮೂಲೆಯಲ್ಲಿ,ಮೂಲೆಯೇ
ಉದಾಹರಣೆ,ಉದಾಹರಣೆ,ಉದಾಹರಣೆಯನ್ನು,ಉದಾಹರಣೆಯಿಂದ,ಉದಾಹರಣೆಗೆ,ಉದಾಹರಣೆಯಿಂದ,ಉದಾಹರಣೆಯ,ಉದಾಹರಣೆಯಲ್ಲಿ,ಉದಾಹರಣೆಯೇ
ಬೆಂಬಲ,ಬೆಂಬಲ,ಬೆಂಬಲವನ್ನು,ಬೆಂಬಲದಿಂದ,ಬೆಂಬಲಕ್ಕೆ,ಬೆಂಬಲದಿಂದ,ಬೆಂಬಲದ,ಬೆಂಬಲದಲ್ಲಿ,ಬೆಂಬಲವೇ
ನಗರ,ನಗರ,ನಗರವನ್ನು,ನಗರದಿಂದ,ನಗರಕ್ಕೆ,ನಗರದಿಂದ,ನಗರದ,ನಗರದಲ್ಲಿ,ನಗರವೇ
ಪಕ್ಷ,ಪಕ್ಷ,ಪಕ್ಷವನ್ನು,ಪಕ್ಷದಿಂದ,ಪಕ್ಷಕ್ಕೆ,ಪಕ್ಷದಿಂದ,ಪಕ್ಷದ,ಪಕ್ಷದಲ್ಲಿ,ಪಕ್ಷವೇ
ದಿನ,ದಿನ,ದಿನವನ್ನು,ದಿನದಿಂದ,ದಿನಕ್ಕೆ,ದಿನದಿಂದ,ದಿನದ,ದಿನದಲ್ಲಿ,ದಿನವೇ
ಸಮರ್ಥನೆ,ಸಮರ್ಥನೆ,ಸಮರ್ಥನೆಯನ್ನು,ಸಮರ್ಥನೆಯಿಂದ,ಸಮರ್ಥನೆಗೆ,ಸಮರ್ಥನೆಯಿಂದ,ಸಮರ್ಥನೆಯ,ಸಮರ್ಥನೆಯಲ್ಲಿ,ಸಮರ್ಥನೆಯೇ
ನಿದ್ರೆ,ನಿದ್ರೆ,ನಿದ್ರೆಯನ್ನು,ನಿದ್ರೆಯಿಂದ,ನಿದ್ರೆಗೆ,ನಿದ್ರೆಯಿಂದ,ನಿದ್ರೆಯ,ನಿದ್ರೆಯಲ್ಲಿ,ನಿದ್ರೆಯೇ
ದಂಡನೆ,ದಂಡನೆ,ದಂಡನೆಯನ್ನು,ದಂಡನೆಯಿಂದ,ದಂಡನೆಗೆ,ದಂಡನೆಯಿಂದ,ದಂಡನೆಯ,ದಂಡನೆಯಲ್ಲಿ,ದಂಡನೆಯೇ
ಲಾಭ,ಲಾಭ,ಲಾಭವನ್ನು,ಲಾಭದಿಂದ,ಲಾಭಕ್ಕೆ,ಲಾಭದಿಂದ,ಲಾಭದ,ಲಾಭದಲ್ಲಿ,ಲಾಭವೇ
ವಿಶೇಷ,ವಿಶೇಷ,ವಿಶೇಷವನ್ನು,ವಿಶೇಷದಿಂದ,ವಿಶೇಷಕ್ಕೆ,ವಿಶೇಷದಿಂದ,ವಿಶೇಷದ,ವಿಶೇಷದಲ್ಲಿ,ವಿಶೇಷವೇ
ಚಿಕಿತ್ಸೆ,ಚಿಕಿತ್ಸೆ,ಚಿಕಿತ್ಸೆಯನ್ನು,ಚಿಕಿತ್ಸೆಯಿಂದ,ಚಿಕಿತ್ಸೆಗೆ,ಚಿಕಿತ್ಸೆಯಿಂದ,ಚಿಕಿತ್ಸೆಯ,ಚಿಕಿತ್ಸೆಯಲ್ಲಿ,ಚಿಕಿತ್ಸೆಯೇ
ದರ,ದರ,ದರವನ್ನು,ದರದಿಂದ,ದರಕ್ಕೆ,ದರದಿಂದ,ದರದ,ದರದಲ್ಲಿ,ದರವೇ
ಗ್ರಾಮ,ಗ್ರಾಮ,ಗ್ರಾಮವನ್ನು,ಗ್ರಾಮದಿಂದ,ಗ್ರಾಮಕ್ಕೆ,ಗ್ರಾಮದಿಂದ,ಗ್ರಾಮದ,ಗ್ರಾಮದಲ್ಲಿ,ಗ್ರಾಮವೇ
ಕ್ರೀಡೆ,ಕ್ರೀಡೆ,ಕ್ರೀಡೆಯನ್ನು,ಕ್ರೀಡೆಯಿಂದ,ಕ್ರೀಡೆಗೆ,ಕ್ರೀಡೆಯಿಂದ,ಕ್ರೀಡೆಯ,ಕ್ರೀಡೆಯಲ್ಲಿ,ಕ್ರೀಡೆಯೇ
ಸ್ಪರ್ಧೆ,ಸ್ಪರ್ಧೆ,ಸ್ಪರ್ಧೆಯನ್ನು,ಸ್ಪರ್ಧೆಯಿಂದ,ಸ್ಪರ್ಧೆಗೆ,ಸ್ಪರ್ಧೆಯಿಂದ,ಸ್ಪರ್ಧೆಯ,ಸ್ಪರ್ಧೆಯಲ್ಲಿ,ಸ್ಪರ್ಧೆಯೇ
ಪ್ರತಿ,ಪ್ರತಿ,ಪ್ರತಿದಿನವನ್ನು,ಪ್ರತಿದಿನದಿಂದ,ಪ್ರತಿದಿನಕ್ಕೆ,ಪ್ರತಿದಿನದಿಂದ,ಪ್ರತಿದಿನದ,ಪ್ರತಿದಿನದಲ್ಲಿ,ಪ್ರತಿದಿನವೇ
ಮತ,ಮತ,ಮತವನ್ನು,ಮತದಿಂದ,ಮತಕ್ಕೆ,ಮತದಿಂದ,ಮತದ,ಮತದಲ್ಲಿ,ಮತವೇ
ಅವಕಾಶ,ಅವಕಾಶ,ಅವಕಾಶವನ್ನು,ಅವಕಾಶದಿಂದ,ಅವಕಾಶಕ್ಕೆ,ಅವಕಾಶದಿಂದ,ಅವಕಾಶದ,ಅವಕಾಶದಲ್ಲಿ,ಅವಕಾಶವೇ
ಕಷ್ಟ,ಕಷ್ಟ,ಕಷ್ಟವನ್ನು,ಕಷ್ಟದಿಂದ,ಕಷ್ಟಕ್ಕೆ,ಕಷ್ಟದಿಂದ,ಕಷ್ಟದ,ಕಷ್ಟದಲ್ಲಿ,ಕಷ್ಟವೇ
ಶುಲ್ಕ,ಶುಲ್ಕ,ಶುಲ್ಕವನ್ನು,ಶುಲ್ಕದಿಂದ,ಶುಲ್ಕಕ್ಕೆ,ಶುಲ್ಕದಿಂದ,ಶುಲ್ಕದ,ಶುಲ್ಕದಲ್ಲಿ,ಶುಲ್ಕವೇ
ಅಂಶ,ಅಂಶ,ಅಂಶವನ್ನು,ಅಂಶದಿಂದ,ಅಂಶಕ್ಕೆ,ಅಂಶದಿಂದ,ಅಂಶದ,ಅಂಶದಲ್ಲಿ,ಅಂಶವೇ
ಹೊಣೆ,ಹೊಣೆ,ಹೊಣೆಯನ್ನು,ಹೊಣೆಯಿಂದ,ಹೊಣೆಗೆ,ಹೊಣೆಯಿಂದ,ಹೊಣೆಯ,ಹೊಣೆಯಲ್ಲಿ,ಹೊಣೆಯೇ
ರೋಗ,ರೋಗ,ರೋಗವನ್ನು,ರೋಗದಿಂದ,ರೋಗಕ್ಕೆ,ರೋಗದಿಂದ,ರೋಗದ,ರೋಗದಲ್ಲಿ,ರೋಗವೇ
ನೋವು,ನೋವು,ನೋವನ್ನು,ನೋವಿನಿಂದ,ನೋವಿಗೆ,ನೋವಿನಿಂದ,ನೋವಿನ,ನೋವಿನಲ್ಲಿ,ನೋವೇ
ನೆನಪು,ನೆನಪು,ನೆನಪನ್ನು,ನೆನಪಿನಿಂದ,ನೆನಪಿಗೆ,ನೆನಪಿನಿಂದ,ನೆನಪಿನ,ನೆನಪಿನಲ್ಲಿ,ನೆನಪೇ
ಭಾವಚಿತ್ರ,ಭಾವಚಿತ್ರ,ಭಾವಚಿತ್ರವನ್ನು,ಭಾವಚಿತ್ರದಿಂದ,ಭಾವಚಿತ್ರಕ್ಕೆ,ಭಾವಚಿತ್ರದಿಂದ,ಭಾವಚಿತ್ರದ,ಭಾವಚಿತ್ರದಲ್ಲಿ,ಭಾವಚಿತ್ರವೇ
ಪವಾಡ,ಪವಾಡ,ಪವಾಡವನ್ನು,ಪವಾಡದಿಂದ,ಪವಾಡಕ್ಕೆ,ಪವಾಡದಿಂದ,ಪವಾಡದ,ಪವಾಡದಲ್ಲಿ,ಪವಾಡವೇ
ಅದೃಷ್ಟ,ಅದೃಷ್ಟ,ಅದೃಷ್ಟವನ್ನು,ಅದೃಷ್ಟದಿಂದ,ಅದೃಷ್ಟಕ್ಕೆ,ಅದೃಷ್ಟದಿಂದ,ಅದೃಷ್ಟದ,ಅದೃಷ್ಟದಲ್ಲಿ,ಅದೃಷ್ಟವೇ
ದುರದೃಷ್ಟ,ದುರದೃಷ್ಟ,ದುರದೃಷ್ಟವನ್ನು,ದುರದೃಷ್ಟದಿಂದ,ದುರದೃಷ್ಟಕ್ಕೆ,ದುರದೃಷ್ಟದಿಂದ,ದುರದೃಷ್ಟದ,ದುರದೃಷ್ಟದಲ್ಲಿ,ದುರದೃಷ್ಟವೇ
ಸೋಲು,ಸೋಲು,ಸೋಲನ್ನು,ಸೋಲಿನಿಂದ,ಸೋಲಿಗೆ,ಸೋಲಿನಿಂದ,ಸೋಲಿನ,ಸೋಲಿನಲ್ಲಿ,ಸೋಲೇ
ಗೀತೆ,ಗೀತೆ,ಗೀತೆಯನ್ನು,ಗೀತೆಯಿಂದ,ಗೀತೆಗೆ,ಗೀತೆಯಿಂದ,ಗೀತೆಯ,ಗೀತೆಯಲ್ಲಿ,ಗೀತೆಯೇ
ಹಾಡು,ಹಾಡು,ಹಾಡನ್ನು,ಹಾಡಿನಿಂದ,ಹಾಡಿಗೆ,ಹಾಡಿನಿಂದ,ಹಾಡಿನ,ಹಾಡಿನಲ್ಲಿ,ಹಾಡೇ
ಮಾಹಿತಿ,ಮಾಹಿತಿ,ಮಾಹಿತಿಯನ್ನು,ಮಾಹಿತಿಯಿಂದ,ಮಾಹಿತಿಗೆ,ಮಾಹಿತಿಯಿಂದ,ಮಾಹಿತಿಯ,ಮಾಹಿತಿಯಲ್ಲಿ,ಮಾಹಿತಿಯೇ
ಗತಿ,ಗತಿ,ಗತಿಯನ್ನು,ಗತಿಯಿಂದ,ಗತಿಗೆ,ಗತಿಯಿಂದ,ಗತಿಯ,ಗತಿಯಲ್ಲಿ,ಗತಿಯೇ
ಪರಿಸ್ಥಿತಿ,ಪರಿಸ್ಥಿತಿ,ಪರಿಸ್ಥಿತಿಯನ್ನು,ಪರಿಸ್ಥಿತಿಯಿಂದ,ಪರಿಸ್ಥಿತಿಗೆ,ಪರಿಸ್ಥಿತಿಯಿಂದ,ಪರಿಸ್ಥಿತಿಯ,ಪರಿಸ್ಥಿತಿಯಲ್ಲಿ,ಪರಿಸ್ಥಿತಿಯೇ
ಕಲಿಕೆ,ಕಲಿಕೆ,ಕಲಿಕೆಯನ್ನು,ಕಲಿಕೆಯಿಂದ,ಕಲಿಕೆಗೆ,ಕಲಿಕೆಯಿಂದ,ಕಲಿಕೆಯ,ಕಲಿಕೆಯಲ್ಲಿ,ಕಲಿಕೆಯೇ
ಸಾಲು,ಸಾಲು,ಸಾಲನ್ನು,ಸಾಲಿನಿಂದ,ಸಾಲಿಗೆ,ಸಾಲಿನಿಂದ,ಸಾಲಿನ,ಸಾಲಿನಲ್ಲಿ,ಸಾಲೇ
ವರ್ಗ,ವರ್ಗ,ವರ್ಗವನ್ನು,ವರ್ಗದಿಂದ,ವರ್ಗಕ್ಕೆ,ವರ್ಗದಿಂದ,ವರ್ಗದ,ವರ್ಗದಲ್ಲಿ,ವರ್ಗವೇ
ಮನೆ,ಮನೆ,ಮನೆಯನ್ನು,ಮನೆಯಿಂದ,ಮನೆಗೆ,ಮನೆಯಿಂದ,ಮನೆಯ,ಮನೆಯಲ್ಲಿ,ಮನೆಯೇ
ಮರ,ಮರ,ಮರವನ್ನು,ಮರದಿಂದ,ಮರಕ್ಕೆ,ಮರದಿಂದ,ಮರದ,ಮರದಲ್ಲಿ,ಮರವೇ
ಕಲ್ಲು,ಕಲ್ಲು,ಕಲ್ಲನ್ನು,ಕಲ್ಲಿನಿಂದ,ಕಲ್ಲಿಗೆ,ಕಲ್ಲಿನಿಂದ,ಕಲ್ಲಿನ,ಕಲ್ಲಿನಲ್ಲಿ,ಕಲ್ಲೇ
ಬೆಳಕು,ಬೆಳಕು,ಬೆಳಕನ್ನು,ಬೆಳಕಿನಿಂದ,ಬೆಳಕಿಗೆ,ಬೆಳಕಿನಿಂದ,ಬೆಳಕಿನ,ಬೆಳಕಿನಲ್ಲಿ,ಬೆಳಕೇ
ಹಣ್ಣು,ಹಣ್ಣು,ಹಣ್ಣನ್ನು,ಹಣ್ಣಿನಿಂದ,ಹಣ್ಣಿಗೆ,ಹಣ್ಣಿನಿಂದ,ಹಣ್ಣಿನ,ಹಣ್ಣಿನಲ್ಲಿ,ಹಣ್ಣೇ
ಪುಸ್ತಕ,ಪುಸ್ತಕ,ಪುಸ್ತಕವನ್ನು,ಪುಸ್ತಕದಿಂದ,ಪುಸ್ತಕಕ್ಕೆ,ಪುಸ್ತಕದಿಂದ,ಪುಸ್ತಕದ,ಪುಸ್ತಕದಲ್ಲಿ,ಪುಸ್ತಕವೇ
ಕಾಗದ,ಕಾಗದ,ಕಾಗದವನ್ನು,ಕಾಗದದಿಂದ,ಕಾಗದಕ್ಕೆ,ಕಾಗದದಿಂದ,ಕಾಗದದ,ಕಾಗದದಲ್ಲಿ,ಕಾಗದವೇ
ನೂರು,ನೂರು,ನೂರನ್ನು,ನೂರರಿಂದ,ನೂರಿಗೆ,ನೂರರಿಂದ,ನೂರರ,ನೂರರಲ್ಲಿ,ನೂರೇ
ಬೆಂಕಿ,ಬೆಂಕಿ,ಬೆಂಕಿಯನ್ನು,ಬೆಂಕಿಯಿಂದ,ಬೆಂಕಿಗೆ,ಬೆಂಕಿಯಿಂದ,ಬೆಂಕಿಯ,ಬೆಂಕಿಯಲ್ಲಿ,ಬೆಂಕಿಯೇ
ನೀರು,ನೀರು,ನೀರನ್ನು,ನೀರಿನಿಂದ,ನೀರಿಗೆ,ನೀರಿನಿಂದ,ನೀರಿನ,ನೀರಿನಲ್ಲಿ,ನೀರೇ
ಆಕಾಶ,ಆಕಾಶ,ಆಕಾಶವನ್ನು,ಆಕಾಶದಿಂದ,ಆಕಾಶಕ್ಕೆ,ಆಕಾಶದಿಂದ,ಆಕಾಶದ,ಆಕಾಶದಲ್ಲಿ,ಆಕಾಶವೇ
ಬಾಗಿಲು,ಬಾಗಿಲು,ಬಾಗಿಲನ್ನು,ಬಾಗಿಲಿನಿಂದ,ಬಾಗಿಲಿಗೆ,ಬಾಗಿಲಿನಿಂದ,ಬಾಗಿಲ,ಬಾಗಿಲಲ್ಲಿ,ಬಾಗಿಲೇ
ಚಿತ್ರ,ಚಿತ್ರ,ಚಿತ್ರವನ್ನು,ಚಿತ್ರದಿಂದ,ಚಿತ್ರಕ್ಕೆ,ಚಿತ್ರದಿಂದ,ಚಿತ್ರದ,ಚಿತ್ರದಲ್ಲಿ,ಚಿತ್ರವೇ
ಕಾರ್,ಕಾರ್,ಕಾರನ್ನು,ಕಾರಿನಿಂದ,ಕಾರಿಗೆ,ಕಾರಿನಿಂದ,ಕಾರಿನ,ಕಾರಿನಲ್ಲಿ,ಕಾರೇ
ಬಾಕ್ಸ್,ಬಾಕ್ಸ್,ಬಾಕ್ಸನ್ನು,ಬಾಕ್ಸಿನಿಂದ,ಬಾಕ್ಸಿಗೆ,ಬಾಕ್ಸಿನಿಂದ,ಬಾಕ್ಸಿನ,ಬಾಕ್ಸಿನಲ್ಲಿ,ಬಾಕ್ಸೇ
ಊರು,ಊರು,ಊರನ್ನು,ಊರಿನಿಂದ,ಊರಿಗೆ,ಊರಿನಿಂದ,ಊರಿನ,ಊರಿನಲ್ಲಿ,ಊರೇ
ಗ್ರಾಮ,ಗ್ರಾಮ,ಗ್ರಾಮವನ್ನು,ಗ್ರಾಮದಿಂದ,ಗ್ರಾಮಕ್ಕೆ,ಗ್ರಾಮದಿಂದ,ಗ್ರಾಮದ,ಗ್ರಾಮದಲ್ಲಿ,ಗ್ರಾಮವೇ
ರಸ್ತೆ,ರಸ್ತೆ,ರಸ್ತೆಯನ್ನು,ರಸ್ತೆಯಿಂದ,ರಸ್ತೆಗೆ,ರಸ್ತೆಯಿಂದ,ರಸ್ತೆಯ,ರಸ್ತೆಯಲ್ಲಿ,ರಸ್ತೆಯೇ
ಜ್ಞಾನ,ಜ್ಞಾನ,ಜ್ಞಾನವನ್ನು,ಜ್ಞಾನದಿಂದ,ಜ್ಞಾನಕ್ಕೆ,ಜ್ಞಾನದಿಂದ,ಜ್ಞಾನದ,ಜ್ಞಾನದಲ್ಲಿ,ಜ್ಞಾನವೇ
ಸಮಯ,ಸಮಯ,ಸಮಯವನ್ನು,ಸಮಯದಿಂದ,ಸಮಯಕ್ಕೆ,ಸಮಯದಿಂದ,ಸಮಯದ,ಸಮಯದಲ್ಲಿ,ಸಮಯವೇ
ಪರೀಕ್ಷೆ,ಪರೀಕ್ಷೆ,ಪರೀಕ್ಷೆಯನ್ನು,ಪರೀಕ್ಷೆಯಿಂದ,ಪರೀಕ್ಷೆಗೆ,ಪರೀಕ್ಷೆಯಿಂದ,ಪರೀಕ್ಷೆಯ,ಪರೀಕ್ಷೆಯಲ್ಲಿ,ಪರೀಕ್ಷೆಯೇ
ಕಲ್ಪನೆ,ಕಲ್ಪನೆ,ಕಲ್ಪನೆಯನ್ನು,ಕಲ್ಪನೆಯಿಂದ,ಕಲ್ಪನೆಗೆ,ಕಲ್ಪನೆಯಿಂದ,ಕಲ್ಪನೆಯ,ಕಲ್ಪನೆಯಲ್ಲಿ,ಕಲ್ಪನೆಯೇ
ಆನಂದ,ಆನಂದ,ಆನಂದವನ್ನು,ಆನಂದದಿಂದ,ಆನಂದಕ್ಕೆ,ಆನಂದದಿಂದ,ಆನಂದದ,ಆನಂದದಲ್ಲಿ,ಆನಂದವೇ
ಮನಸ್ಸು,ಮನಸ್ಸು,ಮನಸ್ಸನ್ನು,ಮನಸ್ಸಿನಿಂದ,ಮನಸ್ಸಿಗೆ,ಮನಸ್ಸಿನಿಂದ,ಮನಸ್ಸಿನ,ಮನಸ್ಸಿನಲ್ಲಿ,ಮನಸ್ಸೇ
